07/12/20 16:59:35 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/system/ManagePlugins.jsp
07/12/20 17:02:26 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/AdminTechnicalMenu.jsp
07/12/20 17:03:45 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/role/ManagePageRole.jsp?plugin_name=
07/12/20 17:04:39 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/role/CreatePageRole.jsp
07/12/20 17:04:55 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/role/ManagePageRole.jsp
07/12/20 17:04:59 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/role/ModifyPageRole.jsp?role=roleessai
07/12/20 17:05:01 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/role/ManagePageRole.jsp
07/12/20 17:05:04 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/system/ManageCaches.jsp?plugin_name=
07/12/20 17:05:31 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/search/ManageSearchIndexation.jsp?plugin_name=
07/12/20 17:05:35 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/system/ManageFilesSystem.jsp?plugin_name=
07/12/20 17:05:39 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/system/ManageFilesSystem.jsp?plugin_name=
07/12/20 17:05:44 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/system/ManageFilesSytemDir.jsp?dir=/WEB-INF/plugins/
07/12/20 17:05:48 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/system/ViewFile.jsp?directory=/WEB-INF/plugins/&file=document
07/12/20 17:05:54 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/system/ManagePlugins.jsp?plugin_name=
07/12/20 17:06:00 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/system/ManageDaemons.jsp?plugin_name=
07/12/20 17:06:09 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/plugins/testmoussia/ManageUsers.jsp?plugin_name=testmoussia
07/12/20 17:06:15 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/AdminMenu.jsp
07/12/20 17:06:21 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/AdminTechnicalMenu.jsp
07/12/20 17:06:22 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/AdminMenu.jsp
07/12/20 17:06:28 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/system/ManagePlugins.jsp
07/12/20 17:06:32 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/AdminMenu.jsp
07/12/20 17:06:37 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/AdminTechnicalMenu.jsp
07/12/20 17:06:58 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/AdminTechnicalMenu.jsp
07/12/20 17:07:05 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/user/ManageUsers.jsp?plugin_name=
07/12/20 17:11:34 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/AdminTechnicalMenu.jsp
07/12/20 17:11:46 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/DoChangeLanguage.jsp
07/12/20 17:11:46 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/AdminMenu.jsp
07/12/20 17:11:53 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/AdminTechnicalMenu.jsp
07/12/20 17:12:02 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/AdminTechnicalMenu.jsp
07/12/20 17:12:05 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/AdminMenu.jsp
07/12/20 17:12:06 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/AdminTechnicalMenu.jsp
07/12/20 17:13:05 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/features/CreateExternalFeature.jsp
07/12/20 17:13:14 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/AdminTechnicalMenu.jsp?
07/12/20 17:15:23 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/user/ManageUsers.jsp?plugin_name=
07/12/20 17:15:28 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/style/ManagePageTemplates.jsp?plugin_name=
07/12/20 17:15:31 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/style/CreatePageTemplate.jsp
07/12/20 17:15:41 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/style/ManagePageTemplates.jsp?plugin_name=
07/12/20 17:15:47 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/style/ManageStyleSheets.jsp?plugin_name=
07/12/20 17:15:53 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/style/CreateStyleSheet.jsp
07/12/20 17:22:02 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/site/AdminSite.jsp?plugin_name=
07/12/20 17:22:06 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/site/AdminSite.jsp?page_id=2
07/12/20 17:22:08 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/site/AdminSite.jsp?page_id=3
07/12/20 17:22:34 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/site/AdminSite.jsp?page=initialize
07/12/20 17:22:40 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example//jsp/admin/AdminMenu.jsp
07/12/20 17:37:14 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/system/ManagePlugins.jsp
07/12/20 17:37:23 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/system/ManagePlugins.jsp?plugin_name=
07/12/20 17:37:33 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/example/jsp/admin/system/ManagePlugins.jsp?plugin_name=
